1000 50
3 54 20
1 55 20
3 56 20
3 57 20
4 58 20
3 59 20
1 60 20
1 61 20
3 62 20
2 63 20
3 64 20
1 65 20
1 66 20
4 67 20
3 68 20
3 69 20
4 70 20
1 71 20
4 72 20
2 53 20
3 54 20
1 55 20
4 56 20
1 57 20
2 58 20
3 59 20
4 60 20
1 61 20
3 62 20
2 30 70
2 31 45
2 32 68
2 33 94
2 34 69
2 35 82
2 36 71
2 37 81
2 38 67
2 39 100
2 40 46
2 41 54
2 42 83
2 43 78
2 44 52
2 30 68
2 31 81
2 32 100
2 33 30
2 34 68
2 35 66
2 36 56
2 37 85
2 38 71
2 39 89
2 40 86
2 41 86
2 42 57
2 43 95
2 44 90
2 30 51
2 31 40
2 32 66
2 33 95
2 34 72
2 35 41
2 36 60
2 37 69
2 38 58
2 39 55
2 40 48
2 41 33
2 42 35
2 43 61
2 44 90
2 30 39
2 31 88
2 32 83
2 33 54
2 34 79
2 35 93
2 36 81
2 37 61
2 38 48
2 39 30
2 40 43
2 41 84
2 42 58
2 43 52
2 44 96
2 30 89
2 31 36
2 32 61
2 33 45
2 34 88
2 35 47
2 36 89
2 37 97
2 38 70
2 39 86
2 40 94
2 41 84
2 42 100
2 43 87
2 44 50
2 30 90
2 31 87
2 32 63
2 33 61
2 34 65
2 35 96
2 36 92
2 37 60
2 38 65
2 39 86
2 40 39
2 41 66
2 42 60
2 43 64
2 44 72
2 30 70
2 31 99
2 32 40
2 33 47
2 34 49
2 35 59
2 36 79
2 37 49
2 38 57
2 39 38
4 1 36
3 1 44
4 1 36
1 1 23
4 1 34
1 1 46
4 1 40
1 1 32
3 1 34
4 1 44
2 1 41
2 1 27
4 1 41
1 1 34
3 1 35
2 1 39
2 1 49
1 1 35
1 1 15
4 1 18
4 1 21
1 1 26
4 1 30
2 1 39
3 1 31
4 1 27
4 1 26
1 1 40
1 1 44
1 1 32
2 1 14
1 1 11
2 1 22
1 1 49
2 1 25
2 1 40
1 1 46
2 1 39
3 1 33
2 1 48
1 1 20
3 1 16
1 1 29
4 1 35
2 1 14
2 1 16
3 1 48
1 1 46
1 1 32
4 1 33
1 65 166
3 2 108
4 14 111
3 82 118
2 56 46
3 79 138
4 60 112
3 42 63
1 36 116
2 97 119
4 44 8
4 42 47
4 28 91
3 44 72
3 72 3
2 11 62
4 63 143
2 89 122
4 58 5
1 38 57
4 89 63
3 85 149
3 61 142
3 55 191
3 46 180
4 35 79
3 30 31
2 41 31
2 25 56
4 36 186
3 13 50
3 30 93
2 39 4
2 36 12
1 71 75
2 82 193
4 14 4
3 61 123
4 44 48
1 33 123
1 9 103
4 10 148
1 20 39
3 11 64
1 72 196
4 78 153
2 100 134
4 58 114
3 76 110
3 73 159
1 79 190
1 98 54
2 34 170
1 21 62
2 71 20
2 1 105
4 89 153
4 38 9
2 37 181
3 90 117
1 88 60
3 81 151
2 55 30
2 83 39
3 19 19
1 22 79
3 57 32
4 89 78
4 35 129
4 57 21
1 56 189
3 78 65
1 12 59
1 98 173
3 74 11
2 61 133
4 36 47
4 82 126
1 61 90
4 43 83
1 21 85
4 89 127
3 85 103
1 59 23
3 33 83
1 99 104
1 85 139
4 53 14
2 67 93
4 81 114
1 27 69
2 37 113
4 16 8
2 91 41
3 71 4
4 12 58
1 60 31
2 64 184
3 66 181
3 54 124
4 32 117
2 50 49
2 9 71
4 44 130
3 1 73
3 76 149
4 20 115
4 45 86
4 59 83
2 90 62
4 30 199
4 6 82
4 91 98
4 85 167
2 64 10
2 65 152
3 13 113
1 68 117
1 93 37
4 84 40
1 61 68
3 80 178
4 84 21
3 87 137
4 41 161
4 70 10
1 31 162
3 30 192
1 56 26
1 57 43
3 4 12
3 8 76
3 48 111
2 32 136
4 73 175
2 22 45
1 79 98
2 64 150
2 30 119
3 59 66
1 60 74
2 10 114
3 76 77
4 89 65
4 39 51
4 62 28
2 49 147
3 74 76
3 3 169
4 36 3
1 78 191
4 37 199
2 78 91
2 82 49
3 87 194
2 81 25
1 40 113
1 75 94
2 12 76
3 96 107
2 26 34
3 68 129
3 22 66
4 38 192
3 15 120
1 19 194
2 87 186
4 72 94
1 51 4
3 69 32
4 48 173
3 75 98
3 14 173
2 61 7
3 79 57
1 82 119
3 84 105
1 18 12
1 39 127
1 13 61
2 50 117
3 86 191
4 76 191
2 54 168
1 63 158
4 36 9
3 28 114
4 31 93
1 88 95
3 8 102
3 25 32
4 12 170
2 83 164
1 7 86
2 17 145
2 9 196
2 76 56
2 43 199
2 77 1
3 19 34
3 23 29
1 17 4
3 31 151
3 3 45
3 7 33
4 68 30
1 61 115
3 66 152
1 58 129
2 79 12
3 59 165
1 8 123
4 55 176
1 63 183
4 10 21
3 78 38
1 17 71
3 49 153
3 59 130
4 13 180
1 84 167
2 56 116
2 53 87
4 52 107
1 41 110
3 86 66
3 20 176
4 9 24
1 12 111
1 96 190
3 17 143
1 76 144
3 86 32
4 46 171
4 93 14
3 77 80
3 14 148
2 20 169
4 29 28
3 72 95
1 98 72
2 55 144
1 78 169
3 4 47
3 90 196
3 44 90
1 24 37
4 9 37
1 12 192
2 49 108
4 44 41
3 40 185
3 100 146
1 7 40
2 97 159
1 87 21
3 57 170
4 63 156
4 54 70
2 97 132
1 45 111
1 37 174
4 68 171
3 6 57
4 77 15
1 27 78
2 99 36
3 38 84
1 1 128
4 23 34
4 69 181
2 65 144
3 10 102
1 56 5
4 10 81
4 74 104
4 38 30
4 3 84
2 80 118
3 12 112
1 32 112
4 68 21
4 40 191
3 29 86
2 10 131
1 68 131
2 100 90
3 94 166
2 31 27
2 33 51
2 78 40
1 23 198
4 60 194
4 88 145
3 81 81
2 57 18
4 57 162
3 36 152
1 46 130
1 40 119
4 5 15
3 37 20
1 79 153
4 60 149
1 58 147
2 42 155
4 65 39
1 58 27
3 92 22
2 6 64
4 57 135
2 47 96
3 50 105
3 87 154
1 81 166
3 9 85
1 72 174
4 37 65
2 43 21
2 45 80
4 17 153
1 40 144
4 83 85
2 86 180
1 83 172
4 66 93
1 47 80
2 28 88
4 25 58
2 20 20
3 13 130
1 85 87
2 77 97
2 21 47
2 93 113
1 53 94
2 57 157
3 97 192
4 30 137
2 40 121
2 48 174
4 60 197
3 100 98
4 21 52
2 33 14
4 48 142
1 92 133
1 37 22
2 35 116
2 56 24
202 100 76 200 148 100 200 100 27 109 126 20 300 100 200 229 118 77 1 1 101 222 200 1 100 80 45 40 300 115 33 105 20 135 121 20 200 1 300 20 300 115 246 186 57 234 26 1 300 20
